--- scanner 0 ---
-750,-798,564
651,-651,-450
545,505,-850
-869,-573,-721
-709,660,754
391,436,558
-748,-884,535
585,-474,445
618,-518,-448
-359,310,-869
-738,782,655
-844,-491,-567
466,-634,434
-781,741,779
-548,281,-819
-118,-133,20
333,367,668
-703,-880,673
-866,-605,-645
598,462,-782
491,-507,297
661,-570,-430
320,556,635
35,-32,-97
586,635,-867
-505,429,-858

--- scanner 1 ---
-688,497,-738
-736,333,556
-34,-102,60
899,266,-847
-589,-867,-501
-353,-730,750
554,-550,827
-544,513,-875
412,-618,-555
601,-554,893
489,-634,884
345,548,591
107,-146,-61
-817,452,649
-375,-845,-472
456,523,560
497,-582,-712
497,-726,-621
371,665,577
-708,421,573
-422,-772,728
-461,-860,-632
916,452,-758
903,413,-712
-578,412,-751
-320,-679,817

--- scanner 2 ---
-755,771,-873
795,-789,-587
-757,-556,-472
356,668,762
-674,544,773
-774,-631,386
-871,-524,369
-764,-495,-587
356,419,-517
-542,644,722
798,-659,-466
775,-589,-655
348,409,-473
-651,766,-763
-614,509,681
-809,-411,-477
433,738,802
367,670,742
461,491,-397
330,-730,416
371,-602,393
316,-791,401
-779,810,-674
30,20,13
73,161,-128
-817,-457,306

--- scanner 3 ---
475,687,613
-789,-667,-776
-408,615,477
361,626,541
389,607,551
-432,671,335
-624,664,-549
814,-545,509
-878,-769,-683
677,-401,493
411,-714,-849
-741,596,-555
382,577,-853
-710,-272,448
-384,786,398
-153,-20,-38
446,581,-762
-617,-353,329
-634,-381,417
-811,-736,-734
440,-500,-871
571,-628,-864
690,-511,408
-12,163,-54
490,528,-953
-846,694,-591

--- scanner 4 ---
-282,-582,-356
620,620,-378
-602,-935,444
-535,724,-357
619,-737,524
-788,-918,355
-641,-922,490
525,-718,-320
-642,559,451
514,-610,-391
-307,691,-321
491,-648,480
892,615,-376
656,707,781
728,748,646
40,-142,83
596,799,746
-557,669,464
515,-847,519
-532,690,-345
-310,-792,-390
-541,525,327
721,540,-352
-2,18,-27
520,-685,-414
-289,-691,-464

--- scanner 5 ---
714,-889,-824
673,784,876
422,795,-383
608,-740,-842
642,-627,917
-786,356,-453
741,718,936
-788,835,535
-705,-542,-599
-581,-511,-700
-727,821,550
494,690,-263
-727,-540,727
671,795,896
-599,780,527
781,-723,937
658,-811,-745
412,803,-339
-586,376,-521
-782,-498,602
107,-26,-19
791,-586,835
-591,-606,-587
-783,-467,844
-656,353,-332

--- scanner 6 ---
592,287,416
-815,-537,678
736,790,-603
722,-611,-576
384,-756,597
-488,342,441
674,-689,-539
-494,777,-709
-563,392,360
612,349,555
-606,415,457
-388,-899,-684
-478,-853,-760
507,-774,644
433,-829,496
-569,754,-703
621,412,400
660,-693,-713
-427,-793,-758
656,816,-502
25,-53,-54
-602,848,-698
-744,-481,519
-753,-484,730
731,792,-331

--- scanner 7 ---
872,-515,828
-628,-326,528
892,-408,757
-696,628,-912
-371,571,744
891,348,446
-430,501,656
605,-471,-420
43,59,-71
507,383,-741
759,-389,-445
769,-473,747
-263,-483,-572
-582,-320,643
-753,560,-860
681,-503,-423
-779,615,-946
812,428,432
944,446,395
468,531,-784
457,412,-930
-365,-620,-562
-310,541,741
-692,-387,629
-283,-579,-711

--- scanner 8 ---
-541,410,-414
-552,-711,698
-667,379,627
-547,-479,-470
887,-817,-628
431,638,502
455,563,331
-559,-860,801
-702,471,567
835,673,-400
-525,-712,723
813,-382,369
820,-784,-689
875,-334,379
457,558,603
977,-868,-720
898,682,-555
-567,430,495
-642,-355,-495
100,32,3
-543,390,-403
-473,350,-480
-634,-524,-450
760,-295,430
960,702,-416

--- scanner 9 ---
-6,-74,-15
-802,-402,585
862,483,727
815,560,866
811,715,-659
-487,475,954
886,-758,900
-714,-329,502
-665,486,872
880,862,-685
-700,-326,-435
-446,521,913
-682,-335,-466
-446,560,-733
-570,-418,-388
-356,603,-641
524,-582,-585
124,55,128
808,854,-624
860,-608,836
826,-716,841
597,-563,-445
-762,-335,673
818,502,646
513,-645,-538
-407,692,-741

--- scanner 10 ---
-730,451,629
509,262,-612
482,-448,630
-146,-125,10
549,596,807
-887,-578,432
-467,-694,-643
-450,-653,-773
540,331,800
-841,571,-467
714,-556,-776
-869,-621,380
365,-392,703
-535,-641,-600
-867,-588,513
485,432,754
40,-59,-55
563,295,-613
-764,403,721
419,355,-665
607,-393,672
-746,552,602
-701,689,-435
-711,588,-567
804,-571,-733
785,-446,-785

--- scanner 11 ---
573,771,590
-351,-444,-406
787,-608,759
-367,529,-638
-284,-532,-446
572,-772,-762
-641,670,340
692,760,750
611,874,-762
-433,-554,689
654,782,-852
-278,-361,-494
-596,532,344
-318,-676,638
816,-696,638
-643,641,426
526,-813,-721
537,-731,-543
743,882,-801
782,-582,785
598,908,717
-324,-625,653
-275,576,-508
-284,607,-526
50,101,-114

--- scanner 12 ---
-336,-688,765
-300,617,665
